Tree_ID,lat,lon
BR1,-3.352463,39.901356
BR10,-3.361308,39.900274
BR11,-3.406697,39.905663
BR12,-3.405546,39.906297
BR13,-3.405579,39.905946
BR14,-3.406453,39.905346
BR15,-3.405376,39.905329
BR16,-3.38093,39.890738
BR17,-3.382173,39.890071
BR18,-3.381238,39.891346
BR19,-3.382282,39.89132
BR2,-3.351441,39.902148
BR20,-3.401649,39.910133
BR21,-3.401411,39.910025
BR22,-3.402378,39.908836
BR23,-3.397876,39.907374
BR24,-3.400102,39.908296
BR25,-3.399566,39.909052
BR26,-3.402528,39.909291
BR27,-3.405583,39.903622
BR28,-3.406083,39.904928
BR29,-3.404012,39.904359
BR3,-3.354589,39.905821
BR30,-3.404219,39.905684
BR4,-3.354916,39.899618
BR5,-3.356033,39.898642
BR6,-3.355641,39.905071
BR7,-3.359737,39.900837
BR8,-3.362589,39.902675
BR8,-3.360596,39.901709
BR9,-3.361403,39.901
CY1,-3.436973,39.814139
CY10,-3.430272,39.810879
CY11,-3.438599,39.812073
CY12,-3.439749,39.811919
CY13,-3.43962,39.81119
CY14,-3.438579,39.811356
CY2,-3.438042,39.814212
CY3,-3.438857,39.813986
CY4,-3.439733,39.813408
CY5,-3.440795,39.813209
CY6,-3.431375,39.810325
CY7,-3.431593,39.810699
CY8,-3.429172,39.810491
CY9,-3.430267,39.810509
M1,-3.304232,39.976182
M10,-3.4205,39.89294
M11,-3.421666,39.892701
M12,-3.422231,39.895483
M13,-3.450576,39.886886
M14,-3.450634,39.885592
M15,-3.450394,39.885283
M16,-3.450041,39.887069
M17,-3.449742,39.885152
M18,-3.428815,39.893875
M19,-3.427522,39.894081
M2,-3.304484,39.976937
M20,-3.429862,39.895257
M21,-3.4283,39.895671
M22,-3.429097,39.895988
M23,-3.308556,39.966751
M24,-3.307881,39.967106
M25,-3.307156,39.966326
M26,-3.30224,39.966695
M27,-3.305776,39.979153
M28,-3.301696,39.964504
M29,-3.307208,39.979839
M3,-3.307347,39.981301
M30,-3.306237,39.977926
M31,-3.308355,39.978768
M4,-3.307796,39.980037
M5,-3.306944,39.982475
M6,-3.306606,39.982204
M7,-3.320897,39.951409
M8,-3.320933,39.950235
M9,-3.321578,39.956415